SQL> SELECT A.JOB_NAME,'|',A.OWNER,'|',T.SCHED_TABLE
I_MEDALLIA_RTA_WAPP_B2C_WRK_FTP                                  | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
I_EDW_MEDALLIA_EPISODIO_WAPP_B2C_D_SFTP_2                        | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
I_MEDALLIA_RTA_WAPP_VENTAS_WRK_FTP                               | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
I_EDW_MEDALLIA_EPISODIO_WAPP_VENTAS_D_SFTP_2                     | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
I_EDW_MEDALLIA_EPISODIO_CASIM_CUMPLIDA_D_SFTP_2                  | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
MEDALIA_CICLICA_FTP                                              | B2C_B1C_MDAL_MD                | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
MEDALIA_DIARIA_FTP_5_RTA                                         | B2C_B1C_MDAL_MD                | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
MEDALIA_DIARIA_FTP_5_1_RTA                                       | B2C_B1C_MDAL_MD                | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
I_EDW_MEDALLIA_EPISODIO_COMPRA_PACKS_D_SFTP_2                    | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
I_EDW_MEDALLIA_PADRON_PADRON_CELULAS_D_SFTP_2                    | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
MEDALLIA_RTA_EPISODIOS_1_SFTP                                    | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_TERADATA_HUB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
MEDALLIA_RTA_EPISODIOS_2_SFTP                                    | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_TERADATA_HUB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
I_EDW_MEDALLIA_EPISODIO_GESTION_IVR_D_SFTP_2                     | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
I_EDW_MEDALLIA_EPISODIO_AVERIA_2DAPRUEBA_D_SFTP_2                | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
I_EDW_MEDALLIA_CATER_D_SFTP_2                                    | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
I_EDW_MEDALLIA_EPISODIO_PROVISION_CUMPLIDA2_D_SFTP_2             | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
I_EDW_MEDALLIA_EPISODIO_PROVISION_CANCELADA2_D_SFTP_2            | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
I_EDW_MEDALLIA_EPISODIO_VISITASCEC_D_SFTP_2                      | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
I_EDW_MEDALLIA_EPISODIO_MAGENTO_D_SFTP_2                         | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
I_EDW_MEDALLIA_EPISODIO_WEBAPODERADO_D_SFTP_2                    | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
I_EDW_MEDALLIA_EXPERIENCIA_PAGOS_D_SFTP_2                        | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
I_EDW_MEDALLIA_EPISODIO_AVERIA_VISITA2_D_SFTP_2                  | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
I_EDW_MEDALLIA_EPISODIO_RECARGA_D_SFTP_2                         | B2C_B1C_MDAL_MD                | DATAWAREHOUSE_INTERFACES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
